ID                                    NAME                                 VERSION     STATE   FLAGS  OS       TYPE          PUBDATE
15673bee-27a6-11e4-a09e-1f6cb6c3cf57  java                                 14.2.0      active  P      smartos  zone-dataset  2014-08-19
ff422fc4-27a8-11e4-8050-f7ce39aa8165  mysql-cluster                        14.2.0      active  P      smartos  zone-dataset  2014-08-19
5e164fac-286d-11e4-9cf7-b3f73eefcd01  centos-7                             20140820    active  P      linux    zvol          2014-08-20
8a40ff42-2934-11e4-85fb-f72497b29af4  postgresql                           14.2.0      active  P      smartos  zone-dataset  2014-08-21
c6d11f02-293c-11e4-8924-e3de8053add8  standard64                           14.2.0      active  P      smartos  zone-dataset  2014-08-21
b1186104-2944-11e4-a68c-cbc33fea4d3a  standard                             14.2.0      active  P      smartos  zone-dataset  2014-08-21
a5775e36-2a02-11e4-942a-67ae7a242985  mongodb                              14.2.0      active  P      smartos  zone-dataset  2014-08-22
a95d2898-2c5d-11e4-a4eb-07dbc6315324  percona                              14.2.0      active  P      smartos  zone-dataset  2014-08-25
bf67d2fc-2ed1-11e4-a6ef-a7df3cdba7e9  centos-6                             20140828    active  P      linux    zvol          2014-08-28
85131910-383e-11e4-939e-139a3e5543a5  rails                                14.2.0      active  P      smartos  zone-dataset  2014-09-09
66810176-4011-11e4-968f-938d7c9edfa2  ws2012std-r2                         20140919    active  P      windows  zvol          2014-09-19
d0fb3c79-24b6-4e49-89c8-4e94aaa09099  ubuntu-certified-12.04               20140926    active  P      linux    zvol          2014-09-26
c841e585-23b5-4861-87cd-379330f86f73  ubuntu-certified-14.04               20140926    active  P      linux    zvol          2014-09-26
3f57ffe8-47da-11e4-aa8b-dfb50a06586a  standard64                           14.2.1      active  P      smartos  zone-dataset  2014-09-29
4ac797fa-47dd-11e4-a0f1-3ba648116698  standard                             14.2.1      active  P      smartos  zone-dataset  2014-09-29
01a24b88-f957-4f9d-9946-fbd21b0612bf  ubuntu-certified-12.04               20140929    active  P      linux    zvol          2014-09-29
5f67e820-1489-4db7-9df2-1d8e3ec5cd90  ubuntu-certified-14.04               20140929    active  P      linux    zvol          2014-09-29
acf16260-48e3-11e4-b6a5-0b29395f1d96  couchdb                              14.2.0      active  P      smartos  zone-dataset  2014-09-30
26f85622-497a-11e4-ba93-3fe7b89aea1a  centos-6                             20141001    active  P      linux    zvol          2014-10-01
0a90f47c-497e-11e4-9451-bfbecae680a8  debian-7                             20141001    active  P      linux    zvol          2014-10-01
553da8ba-499e-11e4-8bee-5f8dadc234ce  centos-7                             20141001    active  P      linux    zvol          2014-10-01
d57314d6-4e1f-11e4-90d9-df9e3abb14fc  neo4j                                14.2.0      active  P      smartos  zone-dataset  2014-10-07
46ca6534-53d5-11e4-8fc3-1384eeb2f1c3  postgresql                           14.2.1      active  P      smartos  zone-dataset  2014-10-14
85b03d82-587b-11e4-9ffa-9fe28a7b9c8b  wordpress                            14.2.0      active  P      smartos  zone-dataset  2014-10-20
7ae84590-6107-11e4-ac6b-cf658e1543b4  redis                                14.2.0      active  P      smartos  zone-dataset  2014-10-31
dfb86570-6109-11e4-9d18-7ba8c2cee608  wordpress                            14.2.1      active  P      smartos  zone-dataset  2014-10-31
f37b10cc-6a9f-11e4-9181-e3d137d947bf  centos-6                             20141112    active  P      linux    zvol          2014-11-12
1f061f26-6aa9-11e4-941b-ff1a9c437feb  centos-7                             20141112    active  P      linux    zvol          2014-11-12
176db8f4-6c6c-11e4-90b1-035076b608cc  freebsd-10                           20141115    active  P      bsd      zvol          2014-11-15
00aec452-6e81-11e4-8474-ebfec9a1a911  base                                 14.3.0      active  P      smartos  zone-dataset  2014-11-17
62f148f8-6e84-11e4-82c5-efca60348b9f  base64                               14.3.0      active  P      smartos  zone-dataset  2014-11-17
22d0698e-6e98-11e4-97ca-470617ccfeae  multiarch                            14.3.0      active  P      smartos  zone-dataset  2014-11-17
d20b8738-7a2a-11e4-bea0-83cb697e6c7c  freebsd-10                           20141202    active  P      bsd      zvol          2014-12-02
1ff890f4-7a3e-11e4-902e-7f020ac0d6b3  debian-7                             20141202    active  P      linux    zvol          2014-12-02
28b59658-7a50-11e4-b5ec-6b4f767837d5  apache                               14.3.0      active  P      smartos  zone-dataset  2014-12-02
f9da09c6-7a55-11e4-b5eb-d37be7980fa0  nginx                                14.3.0      active  P      smartos  zone-dataset  2014-12-02
b1fd9c92-7a5c-11e4-8bb3-7748d9d661bb  nodejs                               14.3.0      active  P      smartos  zone-dataset  2014-12-02
b1df4936-7a5c-11e4-98ed-dfe1fa3a813a  centos-7                             20141202    active  P      linux    zvol          2014-12-02
b94d11d6-7a65-11e4-add0-93f38d3f5c5c  centos-6                             20141202    active  P      linux    zvol          2014-12-02
80b82cd2-7afd-11e4-acf8-7f01d128a23d  neo4j                                14.3.0      active  P      smartos  zone-dataset  2014-12-03
81ea4dc2-7aff-11e4-866f-273a920433fb  couchdb                              14.3.0      active  P      smartos  zone-dataset  2014-12-03
fb670f9c-7b03-11e4-9a27-23991bcc197f  java                                 14.3.0      active  P      smartos  zone-dataset  2014-12-03
0423f1f6-7b34-11e4-9364-9bbb102fba57  elasticsearch                        14.3.0      active  P      smartos  zone-dataset  2014-12-03
8b6589fc-7bdb-11e4-91e5-bfccba841132  mongodb                              14.3.0      active  P      smartos  zone-dataset  2014-12-04
28fbb45a-7bde-11e4-8b97-0b85d363b8f2  mysql-cluster                        14.3.0      active  P      smartos  zone-dataset  2014-12-04
2ca7cf08-7be3-11e4-9b45-1f6507130bb7  postgresql                           14.3.0      active  P      smartos  zone-dataset  2014-12-04
cb52149a-7be5-11e4-8372-fff162be8304  redis                                14.3.0      active  P      smartos  zone-dataset  2014-12-04
76a2a510-7c8d-11e4-84b8-4b7fc8e22d0e  ghost                                14.3.0      active  P      smartos  zone-dataset  2014-12-05
afdb1332-7ca4-11e4-a1cd-d7fdf34298e8  standard                             14.3.0      active  P      smartos  zone-dataset  2014-12-05
859e9466-7ef4-11e4-b103-27886e7d9a7d  standard64                           14.3.0      active  P      smartos  zone-dataset  2014-12-08
d905efd2-817e-11e4-9a66-f75ab11da808  magento                              14.3.0      active  P      smartos  zone-dataset  2014-12-11
788dfb50-846b-11e4-802e-bb9df856acab  wordpress                            14.3.0      active  P      smartos  zone-dataset  2014-12-15
e62f4756-8478-11e4-b202-2304793d3eeb  percona                              14.3.0      active  P      smartos  zone-dataset  2014-12-15
c95ba4f2-8546-11e4-97b5-0b9bb0bc4227  rails                                14.3.0      active  P      smartos  zone-dataset  2014-12-16
2d7e5054-95e8-11e4-9bc9-835655bded42  wordpress                            14.3.1      active  P      smartos  zone-dataset  2015-01-06
0fc6f7c2-9daa-11e4-b3f0-5beb0ac4b842  memcached                            14.3.0      active  P      smartos  zone-dataset  2015-01-16
ebb37e88-9ff6-11e4-87ae-fbb5135b9baa  debian-7                             20150119    active  P      linux    zvol          2015-01-19
054fc4e2-a258-11e4-8081-93b0eafb7687  steelapp-1000H                       14.3.0      active  P      smartos  zone-dataset  2015-01-22
db92e908-a258-11e4-a54e-2ba5bada3a0e  steelapp-1000M                       14.3.0      active  P      smartos  zone-dataset  2015-01-22
a464570e-a259-11e4-84ef-cb0d50990b3f  steelapp-2000L                       14.3.0      active  P      smartos  zone-dataset  2015-01-22
8ce6ca66-a25a-11e4-9bb5-efcbea269ad6  steelapp-2000L-STX                   14.3.0      active  P      smartos  zone-dataset  2015-01-22
62f6590a-a25b-11e4-b674-b380f8fc1cd8  steelapp-2000M-STX                   14.3.0      active  P      smartos  zone-dataset  2015-01-22
3e9908e0-a25c-11e4-b30b-4b3b58b077e7  steelapp-4000L                       14.3.0      active  P      smartos  zone-dataset  2015-01-22
fff47e66-a25c-11e4-afdb-8b3070cd37f2  steelapp-500L-10                     14.3.0      active  P      smartos  zone-dataset  2015-01-22
cf72a56e-a25d-11e4-b345-ab5d66e48aa6  steelapp-500M-200                    14.3.0      active  P      smartos  zone-dataset  2015-01-22
c4c6acfe-a30d-11e4-bdae-5348e1edb64f  steelapp-1000M-SAF                   14.3.0      active  P      smartos  zone-dataset  2015-01-23
95bb0de6-a30e-11e4-a14b-e7eed77da308  steelapp-2000L-SAF                   14.3.0      active  P      smartos  zone-dataset  2015-01-23
